Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      417     0.00     0.00  std::_Select1st<std::pair<std::pair<char, char> const, int> >::operator()(std::pair<std::pair<char, char> const, int> const&) const
  0.00      0.00     0.00      364     0.00     0.00  std::pair<std::pair<char, char> const, int> const& std::forward<std::pair<std::pair<char, char> const, int> const&>(std::remove_reference<std::pair<std::pair<char, char> const, int> const&>::type&)
  0.00      0.00     0.00      334     0.00     0.00  std::less<std::pair<char, char> >::operator()(std::pair<char, char> const&, std::pair<char, char> const&) const
  0.00      0.00     0.00      334     0.00     0.00  bool std::operator< <char, char>(std::pair<char, char> const&, std::pair<char, char> const&)
  0.00      0.00     0.00      317     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<char, char> const, int> >::_M_ptr() const
  0.00      0.00     0.00      317     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<char, char> const, int> >::_M_addr() const
  0.00      0.00     0.00      317     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >::_M_valptr() const
  0.00      0.00     0.00      317     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_S_key(std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > const*)
  0.00      0.00     0.00      266     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::pair<char, char> const, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.00     0.00      208     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_get_Node_allocator()
  0.00      0.00     0.00      170     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00      165     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_end()
  0.00      0.00     0.00      138     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<char, char> const, int> >::_M_ptr()
  0.00      0.00     0.00      138     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<char, char> const, int> >::_M_addr()
  0.00      0.00     0.00      138     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >::_M_valptr()
  0.00      0.00     0.00      128     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00      123     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.00     0.00      122     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       69     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::end()
  0.00      0.00     0.00       68     0.00     0.00  char& std::forward<char&>(std::remove_reference<char&>::type&)
  0.00      0.00     0.00       65     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_mbegin() const
  0.00      0.00     0.00       65     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_begin()
  0.00      0.00     0.00       61     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.00     0.00       56     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_M_rightmost()
  0.00      0.00     0.00       54     0.00     0.00  std::pair<int, int>&& std::forward<std::pair<int, int> >(std::remove_reference<std::pair<int, int> >::type&)
  0.00      0.00     0.00       52     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > >::deallocate(std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*, unsigned long)
  0.00      0.00     0.00       52     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > >::destroy<std::pair<std::pair<char, char> const, int> >(std::pair<std::pair<char, char> const, int>*)
  0.00      0.00     0.00       52     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > >::allocate(unsigned long, void const*)
  0.00      0.00     0.00       52     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > >::construct<std::pair<std::pair<char, char> const, int>, std::pair<std::pair<char, char> const, int> const&>(std::pair<std::pair<char, char> const, int>*, std::pair<std::pair<char, char> const, int> const&)
  0.00      0.00     0.00       52     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > >::_M_max_size() const
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::pair<char, char> const, int> >::_M_const_cast() const
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >* std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::_Alloc_node::operator()<std::pair<std::pair<char, char> const, int> const&>(std::pair<std::pair<char, char> const, int> const&) const
  0.00      0.00     0.00       52     0.00     0.00  std::_Rb_tree<std::pair<char, char>, std::pair<std::pair<char, char> const, int>, std::_Select1st<std::pair<std::pair<char, char> const, int> >, std::less<std::pair<char, char> >, std::allocator<std::pair<std::pair<char, char> const, int> > >::size() const
  0.00      0.00     0.00       52     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> > >&, std::_Rb_tree_node<std::pair<std::pair<char, char> const, int> >*, unsigned long)
